GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Ticket Train Model,com.epam.brest2019.courses.model,Payment,31,24,0,0,5,11,2,7,2,7
Ticket Train Model,com.epam.brest2019.courses.model,Ticket,37,32,0,0,4,14,2,9,2,9
